ID	Stock
C0466	OH
C0467	OH
C0468	OH
C0469	OH
C0470	OH
C0471	OH
C0472	OH
C0473	OH
C0474	OH
C0475	OH
C0476	OH
C0477	OH
C0478	OH
C0479	OH
C0480	OH
C0481	OH
C0482	OH
C0483	OH
C0484	OH
C0485	OH
C0486	OH
C0487	OH
C0488	OH
C0489	OH
C0490	OH
C0491	OH
C0492	OH
C0493	OH
C0494	OH
C0495	OH
C0496	OH
C0497	OH
C0498	OH
C0499	OH
C0500	OH
C0501	OH
C0502	OH
C0503	OH
C0504	JS
C0505	JS
C0506	JS
C0507	JS
C0508	JS
C0509	JS
C0510	JS
C0511	JS
C0512	JS
C0513	JS
C0514	JS
C0515	JS
C0516	JS
C0517	JS
C0518	JS
C0519	JS
C0520	JS
C0521	JS
C0522	JS
C0523	JS
C0524	JS
C0525	JS
C0526	JS
C0527	JS
C0528	JS
C0529	JS
C0530	JS
C0531	JS
C0532	JS
C0533	JS
C0534	JS
C0535	JS
C0536	JS
C0537	JS
C0538	JS
C0539	JS
C0540	JS
C0541	JS
C0542	JS
C0543	JS
C0544	JS
C0545	JS
C0546	JS
C0547	JS
C0548	JS
C0549	JS
C0550	JS
C0551	JS
C0552	JS
C0553	JS
C0554	JS
C0555	JS
C0556	JS
C0557	TH
C0558	TH
C0559	TH
C0560	TH
C0561	TH
C0562	TH
C0563	TH
C0564	TH
C0565	TH
C0566	TH
C0567	TH
C0568	TH
C0569	TH
C0570	TH
C0571	TH
C0572	TH
C0573	TH
C0574	TH
C0575	TH
C0576	TH
C0577	TH
C0578	TH
C0579	TH
C0580	TH
C0581	TH
C0582	TH
C0583	TH
C0584	TH
C0585	TH
C0586	TH
C0587	TH
C0588	TH
C0589	TH
C0590	TH
C0591	TH
C0592	TH
C0593	TH
C0594	TH
C0595	TH
C0596	TH
C0597	TH
